"PartNumber","PartDescription","PartDetails","UOM","UPC","PartTypeID","Active","PartTaxCode","StdCost","ProductNumber","ProductDescription","Price","ProductActive","ProductTaxCode","Vendor","DefaultVendor","VendorPartNumber","Cost","VendorUOM"
"WX-RM-3000","WX Raw Component 3000","","ea","","10","true","NCG","2.5","","","","","","A&B Distribution","true","WX-RM-3000-V","2.5","ea"
"WX-RM-3001","WX Raw Component 3001","","ea","","10","true","NCG","3.75","","","","","","Johnson Manufacturing","true","WX-RM-3001-V","3.75","ea"
"WX-RM-3002","WX Raw Component 3002","","m","","10","true","NCG","5","","","","","","Kevin's Cables","true","WX-RM-3002-V","5","m"
"WX-RM-3003","WX Raw Component 3003","","kg","","10","true","NCG","6.25","","","","","","Cyclery Connection","true","WX-RM-3003-V","6.25","kg"
"WX-RM-3004","WX Raw Component 3004","","mm","","10","true","NCG","7.5","","","","","","Simpson Cyclery","true","WX-RM-3004-V","7.5","mm"
"WX-RM-3005","WX Raw Component 3005","","ea","","10","true","NCG","8.75","","","","","","Monroe Bike Company","true","WX-RM-3005-V","8.75","ea"
"WX-RM-3006","WX Raw Component 3006","","L","","10","true","NCG","10","","","","","","Rocky Mountain Bikes","true","WX-RM-3006-V","10","L"
"WX-RM-3007","WX Raw Component 3007","","ft","","10","true","NCG","11.25","","","","","","Chuck's Chain Shop","true","WX-RM-3007-V","11.25","ft"
"WX-RM-3008","WX Raw Component 3008","","ea","","10","true","NCG","12.5","","","","","","A&B Distribution","true","WX-RM-3008-V","12.5","ea"
"WX-RM-3009","WX Raw Component 3009","","kg","","10","true","NCG","13.75","","","","","","Johnson Manufacturing","true","WX-RM-3009-V","13.75","kg"
"WX-RM-3010","WX Raw Component 3010","","ea","","10","true","NCG","15","","","","","","Kevin's Cables","true","WX-RM-3010-V","15","ea"
"WX-RM-3011","WX Raw Component 3011","","ea","","10","true","NCG","16.25","","","","","","Cyclery Connection","true","WX-RM-3011-V","16.25","ea"
"WX-RM-3012","WX Raw Component 3012","","m","","10","true","NCG","17.5","","","","","","Simpson Cyclery","true","WX-RM-3012-V","17.5","m"
"WX-RM-3013","WX Raw Component 3013","","kg","","10","true","NCG","18.75","","","","","","Monroe Bike Company","true","WX-RM-3013-V","18.75","kg"
"WX-RM-3014","WX Raw Component 3014","","mm","","10","true","NCG","20","","","","","","Rocky Mountain Bikes","true","WX-RM-3014-V","20","mm"
"WX-RM-3015","WX Raw Component 3015","","ea","","10","true","NCG","21.25","","","","","","Chuck's Chain Shop","true","WX-RM-3015-V","21.25","ea"
"WX-RM-3016","WX Raw Component 3016","","L","","10","true","NCG","22.5","","","","","","A&B Distribution","true","WX-RM-3016-V","22.5","L"
"WX-RM-3017","WX Raw Component 3017","","ft","","10","true","NCG","23.75","","","","","","Johnson Manufacturing","true","WX-RM-3017-V","23.75","ft"
"WX-RM-3018","WX Raw Component 3018","","ea","","10","true","NCG","25","","","","","","Kevin's Cables","true","WX-RM-3018-V","25","ea"
"WX-RM-3019","WX Raw Component 3019","","kg","","10","true","NCG","26.25","","","","","","Cyclery Connection","true","WX-RM-3019-V","26.25","kg"
"WX-RM-3020","WX Raw Component 3020","","ea","","10","true","NCG","2.5","","","","","","Simpson Cyclery","true","WX-RM-3020-V","2.5","ea"
"WX-RM-3021","WX Raw Component 3021","","ea","","10","true","NCG","3.75","","","","","","Monroe Bike Company","true","WX-RM-3021-V","3.75","ea"
"WX-RM-3022","WX Raw Component 3022","","m","","10","true","NCG","5","","","","","","Rocky Mountain Bikes","true","WX-RM-3022-V","5","m"
"WX-RM-3023","WX Raw Component 3023","","kg","","10","true","NCG","6.25","","","","","","Chuck's Chain Shop","true","WX-RM-3023-V","6.25","kg"
"WX-RM-3024","WX Raw Component 3024","","mm","","10","true","NCG","7.5","","","","","","A&B Distribution","true","WX-RM-3024-V","7.5","mm"
"WX-RM-3025","WX Raw Component 3025","","ea","","10","true","NCG","8.75","","","","","","Johnson Manufacturing","true","WX-RM-3025-V","8.75","ea"
"WX-RM-3026","WX Raw Component 3026","","L","","10","true","NCG","10","","","","","","Kevin's Cables","true","WX-RM-3026-V","10","L"
"WX-RM-3027","WX Raw Component 3027","","ft","","10","true","NCG","11.25","","","","","","Cyclery Connection","true","WX-RM-3027-V","11.25","ft"
"WX-RM-3028","WX Raw Component 3028","","ea","","10","true","NCG","12.5","","","","","","Simpson Cyclery","true","WX-RM-3028-V","12.5","ea"
"WX-RM-3029","WX Raw Component 3029","","kg","","10","true","NCG","13.75","","","","","","Monroe Bike Company","true","WX-RM-3029-V","13.75","kg"
"WX-RM-3030","WX Raw Component 3030","","ea","","10","true","NCG","15","","","","","","Rocky Mountain Bikes","true","WX-RM-3030-V","15","ea"
"WX-RM-3031","WX Raw Component 3031","","ea","","10","true","NCG","16.25","","","","","","Chuck's Chain Shop","true","WX-RM-3031-V","16.25","ea"
"WX-RM-3032","WX Raw Component 3032","","m","","10","true","NCG","17.5","","","","","","A&B Distribution","true","WX-RM-3032-V","17.5","m"
"WX-RM-3033","WX Raw Component 3033","","kg","","10","true","NCG","18.75","","","","","","Johnson Manufacturing","true","WX-RM-3033-V","18.75","kg"
"WX-RM-3034","WX Raw Component 3034","","mm","","10","true","NCG","20","","","","","","Kevin's Cables","true","WX-RM-3034-V","20","mm"
"WX-RM-3035","WX Raw Component 3035","","ea","","10","true","NCG","21.25","","","","","","Cyclery Connection","true","WX-RM-3035-V","21.25","ea"
"WX-RM-3036","WX Raw Component 3036","","L","","10","true","NCG","22.5","","","","","","Simpson Cyclery","true","WX-RM-3036-V","22.5","L"
"WX-RM-3037","WX Raw Component 3037","","ft","","10","true","NCG","23.75","","","","","","Monroe Bike Company","true","WX-RM-3037-V","23.75","ft"
"WX-RM-3038","WX Raw Component 3038","","ea","","10","true","NCG","25","","","","","","Rocky Mountain Bikes","true","WX-RM-3038-V","25","ea"
"WX-RM-3039","WX Raw Component 3039","","kg","","10","true","NCG","26.25","","","","","","Chuck's Chain Shop","true","WX-RM-3039-V","26.25","kg"
"WX-RM-3040","WX Raw Component 3040","","ea","","10","true","NCG","2.5","","","","","","A&B Distribution","true","WX-RM-3040-V","2.5","ea"
"WX-RM-3041","WX Raw Component 3041","","ea","","10","true","NCG","3.75","","","","","","Johnson Manufacturing","true","WX-RM-3041-V","3.75","ea"
"WX-RM-3042","WX Raw Component 3042","","m","","10","true","NCG","5","","","","","","Kevin's Cables","true","WX-RM-3042-V","5","m"
"WX-RM-3043","WX Raw Component 3043","","kg","","10","true","NCG","6.25","","","","","","Cyclery Connection","true","WX-RM-3043-V","6.25","kg"
"WX-RM-3044","WX Raw Component 3044","","mm","","10","true","NCG","7.5","","","","","","Simpson Cyclery","true","WX-RM-3044-V","7.5","mm"
"WX-RM-3045","WX Raw Component 3045","","ea","","10","true","NCG","8.75","","","","","","Monroe Bike Company","true","WX-RM-3045-V","8.75","ea"
"WX-RM-3046","WX Raw Component 3046","","L","","10","true","NCG","10","","","","","","Rocky Mountain Bikes","true","WX-RM-3046-V","10","L"
"WX-RM-3047","WX Raw Component 3047","","ft","","10","true","NCG","11.25","","","","","","Chuck's Chain Shop","true","WX-RM-3047-V","11.25","ft"
"WX-RM-3048","WX Raw Component 3048","","ea","","10","true","NCG","12.5","","","","","","A&B Distribution","true","WX-RM-3048-V","12.5","ea"
"WX-RM-3049","WX Raw Component 3049","","kg","","10","true","NCG","13.75","","","","","","Johnson Manufacturing","true","WX-RM-3049-V","13.75","kg"
"WX-SA-2000","WX Sub-Assembly 2000","","ea","","10","true","NCG","22","WX-SA-2000","WX Sub-Assembly 2000","40","true","GST","","","","",""
"WX-SA-2001","WX Sub-Assembly 2001","","ea","","10","true","NCG","23.65","WX-SA-2001","WX Sub-Assembly 2001","43","true","GST","","","","",""
"WX-SA-2002","WX Sub-Assembly 2002","","ea","","10","true","NCG","25.3","WX-SA-2002","WX Sub-Assembly 2002","46","true","GST","","","","",""
"WX-SA-2003","WX Sub-Assembly 2003","","ea","","10","true","NCG","26.95","WX-SA-2003","WX Sub-Assembly 2003","49","true","GST","","","","",""
"WX-SA-2004","WX Sub-Assembly 2004","","ea","","10","true","NCG","28.6","WX-SA-2004","WX Sub-Assembly 2004","52","true","GST","","","","",""
"WX-SA-2005","WX Sub-Assembly 2005","","ea","","10","true","NCG","30.25","WX-SA-2005","WX Sub-Assembly 2005","55","true","GST","","","","",""
"WX-SA-2006","WX Sub-Assembly 2006","","ea","","10","true","NCG","31.9","WX-SA-2006","WX Sub-Assembly 2006","58","true","GST","","","","",""
"WX-SA-2007","WX Sub-Assembly 2007","","ea","","10","true","NCG","33.55","WX-SA-2007","WX Sub-Assembly 2007","61","true","GST","","","","",""
"WX-SA-2008","WX Sub-Assembly 2008","","ea","","10","true","NCG","35.2","WX-SA-2008","WX Sub-Assembly 2008","64","true","GST","","","","",""
