"BOM Number","BOM Description","Configurable","Type","Part Number","Part Description","Quantity","UOM","Estimated Duration (min)","Instructions"
"WX-SA-2000","WX Sub-Assembly 2000","false","Finished Good","WX-SA-2000","WX Sub-Assembly 2000","1","ea","30",""
"WX-SA-2000","","false","Raw Good","WX-RM-3000","WX Raw Component 3000","1","ea","",""
"WX-SA-2000","","false","Raw Good","WX-RM-3001","WX Raw Component 3001","2","ea","",""
"WX-SA-2000","","false","Raw Good","WX-LAB-FAB","Fabrication labour","0.25","hr","",""
"WX-SA-2001","WX Sub-Assembly 2001","false","Finished Good","WX-SA-2001","WX Sub-Assembly 2001","1","ea","50",""
"WX-SA-2001","","false","Raw Good","WX-RM-3003","WX Raw Component 3003","2","kg","",""
"WX-SA-2001","","false","Raw Good","WX-RM-3004","WX Raw Component 3004","3","mm","",""
"WX-SA-2001","","false","Raw Good","WX-RM-3005","WX Raw Component 3005","1","ea","",""
"WX-SA-2001","","false","Raw Good","WX-LAB-ASSY","Assembly labour","0.5","hr","",""
"WX-SA-2002","WX Sub-Assembly 2002","false","Finished Good","WX-SA-2002","WX Sub-Assembly 2002","1","ea","70",""
"WX-SA-2002","","false","Raw Good","WX-RM-3006","WX Raw Component 3006","3","L","",""
"WX-SA-2002","","false","Raw Good","WX-RM-3007","WX Raw Component 3007","1","ft","",""
"WX-SA-2002","","false","Raw Good","WX-RM-3008","WX Raw Component 3008","2","ea","",""
"WX-SA-2002","","false","Raw Good","WX-RM-3009","WX Raw Component 3009","3","kg","",""
"WX-SA-2002","","false","Raw Good","WX-LAB-TEST","Test & QA labour","0.75","hr","",""
"WX-SA-2003","WX Sub-Assembly 2003","false","Finished Good","WX-SA-2003","WX Sub-Assembly 2003","1","ea","90",""
"WX-SA-2003","","false","Raw Good","WX-RM-3009","WX Raw Component 3009","1","kg","",""
"WX-SA-2003","","false","Raw Good","WX-RM-3010","WX Raw Component 3010","2","ea","",""
"WX-SA-2003","","false","Raw Good","WX-LAB-FAB","Fabrication labour","1","hr","",""
"WX-SA-2004","WX Sub-Assembly 2004","false","Finished Good","WX-SA-2004","WX Sub-Assembly 2004","1","ea","30",""
"WX-SA-2004","","false","Raw Good","WX-RM-3012","WX Raw Component 3012","2","m","",""
"WX-SA-2004","","false","Raw Good","WX-RM-3013","WX Raw Component 3013","3","kg","",""
"WX-SA-2004","","false","Raw Good","WX-RM-3014","WX Raw Component 3014","1","mm","",""
"WX-SA-2004","","false","Raw Good","WX-LAB-ASSY","Assembly labour","0.25","hr","",""
"WX-SA-2005","WX Sub-Assembly 2005","false","Finished Good","WX-SA-2005","WX Sub-Assembly 2005","1","ea","50",""
"WX-SA-2005","","false","Raw Good","WX-RM-3015","WX Raw Component 3015","3","ea","",""
"WX-SA-2005","","false","Raw Good","WX-RM-3016","WX Raw Component 3016","1","L","",""
"WX-SA-2005","","false","Raw Good","WX-RM-3017","WX Raw Component 3017","2","ft","",""
"WX-SA-2005","","false","Raw Good","WX-RM-3018","WX Raw Component 3018","3","ea","",""
"WX-SA-2005","","false","Raw Good","WX-LAB-TEST","Test & QA labour","0.5","hr","",""
"WX-SA-2006","WX Sub-Assembly 2006","false","Finished Good","WX-SA-2006","WX Sub-Assembly 2006","1","ea","70",""
"WX-SA-2006","","false","Raw Good","WX-RM-3018","WX Raw Component 3018","1","ea","",""
"WX-SA-2006","","false","Raw Good","WX-RM-3019","WX Raw Component 3019","2","kg","",""
"WX-SA-2006","","false","Raw Good","WX-LAB-FAB","Fabrication labour","0.75","hr","",""
"WX-SA-2007","WX Sub-Assembly 2007","false","Finished Good","WX-SA-2007","WX Sub-Assembly 2007","1","ea","90",""
"WX-SA-2007","","false","Raw Good","WX-RM-3021","WX Raw Component 3021","2","ea","",""
"WX-SA-2007","","false","Raw Good","WX-RM-3022","WX Raw Component 3022","3","m","",""
"WX-SA-2007","","false","Raw Good","WX-RM-3023","WX Raw Component 3023","1","kg","",""
"WX-SA-2007","","false","Raw Good","WX-LAB-ASSY","Assembly labour","1","hr","",""
"WX-SA-2008","WX Sub-Assembly 2008","false","Finished Good","WX-SA-2008","WX Sub-Assembly 2008","1","ea","30",""
"WX-SA-2008","","false","Raw Good","WX-RM-3024","WX Raw Component 3024","3","mm","",""
"WX-SA-2008","","false","Raw Good","WX-RM-3025","WX Raw Component 3025","1","ea","",""
"WX-SA-2008","","false","Raw Good","WX-RM-3026","WX Raw Component 3026","2","L","",""
"WX-SA-2008","","false","Raw Good","WX-RM-3027","WX Raw Component 3027","3","ft","",""
"WX-SA-2008","","false","Raw Good","WX-LAB-TEST","Test & QA labour","0.25","hr","",""
"WX-SA-2009","WX Sub-Assembly 2009","false","Finished Good","WX-SA-2009","WX Sub-Assembly 2009","1","ea","50",""
"WX-SA-2009","","false","Raw Good","WX-RM-3027","WX Raw Component 3027","1","ft","",""
"WX-SA-2009","","false","Raw Good","WX-RM-3028","WX Raw Component 3028","2","ea","",""
"WX-SA-2009","","false","Raw Good","WX-LAB-FAB","Fabrication labour","0.5","hr","",""
"WX-SA-2010","WX Sub-Assembly 2010","false","Finished Good","WX-SA-2010","WX Sub-Assembly 2010","1","ea","70",""
"WX-SA-2010","","false","Raw Good","WX-RM-3030","WX Raw Component 3030","2","ea","",""
"WX-SA-2010","","false","Raw Good","WX-RM-3031","WX Raw Component 3031","3","ea","",""
"WX-SA-2010","","false","Raw Good","WX-RM-3032","WX Raw Component 3032","1","m","",""
"WX-SA-2010","","false","Raw Good","WX-LAB-ASSY","Assembly labour","0.75","hr","",""
"WX-SA-2011","WX Sub-Assembly 2011","false","Finished Good","WX-SA-2011","WX Sub-Assembly 2011","1","ea","90",""
"WX-SA-2011","","false","Raw Good","WX-RM-3033","WX Raw Component 3033","3","kg","",""
"WX-SA-2011","","false","Raw Good","WX-RM-3034","WX Raw Component 3034","1","mm","",""
"WX-SA-2011","","false","Raw Good","WX-RM-3035","WX Raw Component 3035","2","ea","",""
"WX-SA-2011","","false","Raw Good","WX-RM-3036","WX Raw Component 3036","3","L","",""
"WX-SA-2011","","false","Raw Good","WX-LAB-TEST","Test & QA labour","1","hr","",""
"WX-SA-2012","WX Sub-Assembly 2012","false","Finished Good","WX-SA-2012","WX Sub-Assembly 2012","1","ea","30",""
"WX-SA-2012","","false","Raw Good","WX-RM-3036","WX Raw Component 3036","1","L","",""
"WX-SA-2012","","false","Raw Good","WX-RM-3037","WX Raw Component 3037","2","ft","",""
"WX-SA-2012","","false","Raw Good","WX-LAB-FAB","Fabrication labour","0.25","hr","",""
"WX-SA-2013","WX Sub-Assembly 2013","false","Finished Good","WX-SA-2013","WX Sub-Assembly 2013","1","ea","50",""
"WX-SA-2013","","false","Raw Good","WX-RM-3039","WX Raw Component 3039","2","kg","",""
"WX-SA-2013","","false","Raw Good","WX-RM-3040","WX Raw Component 3040","3","ea","",""
"WX-SA-2013","","false","Raw Good","WX-RM-3041","WX Raw Component 3041","1","ea","",""
"WX-SA-2013","","false","Raw Good","WX-LAB-ASSY","Assembly labour","0.5","hr","",""
"WX-SA-2014","WX Sub-Assembly 2014","false","Finished Good","WX-SA-2014","WX Sub-Assembly 2014","1","ea","70",""
"WX-SA-2014","","false","Raw Good","WX-RM-3042","WX Raw Component 3042","3","m","",""
"WX-SA-2014","","false","Raw Good","WX-RM-3043","WX Raw Component 3043","1","kg","",""
"WX-SA-2014","","false","Raw Good","WX-RM-3044","WX Raw Component 3044","2","mm","",""
"WX-SA-2014","","false","Raw Good","WX-RM-3045","WX Raw Component 3045","3","ea","",""
"WX-SA-2014","","false","Raw Good","WX-LAB-TEST","Test & QA labour","0.75","hr","",""
"WX-SA-2015","WX Sub-Assembly 2015","false","Finished Good","WX-SA-2015","WX Sub-Assembly 2015","1","ea","90",""
"WX-SA-2015","","false","Raw Good","WX-RM-3045","WX Raw Component 3045","1","ea","",""
"WX-SA-2015","","false","Raw Good","WX-RM-3046","WX Raw Component 3046","2","L","",""
"WX-SA-2015","","false","Raw Good","WX-LAB-FAB","Fabrication labour","1","hr","",""
"WX-SA-2016","WX Sub-Assembly 2016","false","Finished Good","WX-SA-2016","WX Sub-Assembly 2016","1","ea","30",""
"WX-SA-2016","","false","Raw Good","WX-RM-3048","WX Raw Component 3048","2","ea","",""
"WX-SA-2016","","false","Raw Good","WX-RM-3049","WX Raw Component 3049","3","kg","",""
"WX-SA-2016","","false","Raw Good","WX-RM-3000","WX Raw Component 3000","1","ea","",""
"WX-SA-2016","","false","Raw Good","WX-LAB-ASSY","Assembly labour","0.25","hr","",""
"WX-SA-2017","WX Sub-Assembly 2017","false","Finished Good","WX-SA-2017","WX Sub-Assembly 2017","1","ea","50",""
"WX-SA-2017","","false","Raw Good","WX-RM-3001","WX Raw Component 3001","3","ea","",""
"WX-SA-2017","","false","Raw Good","WX-RM-3002","WX Raw Component 3002","1","m","",""
"WX-SA-2017","","false","Raw Good","WX-RM-3003","WX Raw Component 3003","2","kg","",""
"WX-SA-2017","","false","Raw Good","WX-RM-3004","WX Raw Component 3004","3","mm","",""
"WX-SA-2017","","false","Raw Good","WX-LAB-TEST","Test & QA labour","0.5","hr","",""
"WX-SA-2018","WX Sub-Assembly 2018","false","Finished Good","WX-SA-2018","WX Sub-Assembly 2018","1","ea","70",""
"WX-SA-2018","","false","Raw Good","WX-RM-3004","WX Raw Component 3004","1","mm","",""
"WX-SA-2018","","false","Raw Good","WX-RM-3005","WX Raw Component 3005","2","ea","",""
"WX-SA-2018","","false","Raw Good","WX-LAB-FAB","Fabrication labour","0.75","hr","",""
"WX-SA-2019","WX Sub-Assembly 2019","false","Finished Good","WX-SA-2019","WX Sub-Assembly 2019","1","ea","90",""
"WX-SA-2019","","false","Raw Good","WX-RM-3007","WX Raw Component 3007","2","ft","",""
"WX-SA-2019","","false","Raw Good","WX-RM-3008","WX Raw Component 3008","3","ea","",""
"WX-SA-2019","","false","Raw Good","WX-RM-3009","WX Raw Component 3009","1","kg","",""
"WX-SA-2019","","false","Raw Good","WX-LAB-ASSY","Assembly labour","1","hr","",""
"WX-FG-1000","WX Widget Assembly 1000","false","Finished Good","WX-FG-1000","WX Widget Assembly 1000","1","ea","60",""
"WX-FG-1000","","false","Raw Good","WX-SA-2000","WX Sub-Assembly 2000","1","ea","",""
"WX-FG-1000","","false","Raw Good","WX-RM-3007","WX Raw Component 3007","1","ft","",""
"WX-FG-1000","","false","Raw Good","WX-RM-3008","WX Raw Component 3008","2","ea","",""
"WX-FG-1000","","false","Raw Good","WX-RM-3009","WX Raw Component 3009","3","kg","",""
"WX-FG-1000","","false","Raw Good","WX-LAB-ASSY","Assembly labour","0.5","hr","",""
"WX-FG-1001","WX Widget Assembly 1001","false","Finished Good","WX-FG-1001","WX Widget Assembly 1001","1","ea","90",""
"WX-FG-1001","","false","Raw Good","WX-SA-2001","WX Sub-Assembly 2001","1","ea","",""
"WX-FG-1001","","false","Raw Good","WX-RM-3012","WX Raw Component 3012","2","m","",""
"WX-FG-1001","","false","Raw Good","WX-RM-3013","WX Raw Component 3013","3","kg","",""
"WX-FG-1001","","false","Raw Good","WX-RM-3014","WX Raw Component 3014","4","mm","",""
"WX-FG-1001","","false","Raw Good","WX-RM-3015","WX Raw Component 3015","1","ea","",""
"WX-FG-1001","","false","Raw Good","WX-LAB-TEST","Test & QA labour","0.75","hr","",""
"WX-FG-1002","WX Widget Assembly 1002","false","Finished Good","WX-FG-1002","WX Widget Assembly 1002","1","ea","120",""
