"PartNumber","LocationGroup","ReorderPoint","OrderUpToLevel","MinOrderQty"
"WX-RM-3000","QLD Stock","10","30","1"
"WX-RM-3001","Sydney","20","60","10"
"WX-RM-3002","Melbourne","25","75","25"
"WX-RM-3003","QLD Stock","50","150","50"
"WX-RM-3004","Sydney","10","30","100"
"WX-RM-3005","Melbourne","20","60","1"
"WX-RM-3006","QLD Stock","25","75","10"
"WX-RM-3007","Sydney","50","150","25"
"WX-RM-3008","Melbourne","10","30","50"
"WX-RM-3009","QLD Stock","20","60","100"
"WX-RM-3010","Sydney","25","75","1"
"WX-RM-3011","Melbourne","50","150","10"
"WX-RM-3012","QLD Stock","10","30","25"
"WX-RM-3013","Sydney","20","60","50"
"WX-RM-3014","Melbourne","25","75","100"
"WX-RM-3015","QLD Stock","50","150","1"
"WX-RM-3016","Sydney","10","30","10"
"WX-RM-3017","Melbourne","20","60","25"
"WX-RM-3018","QLD Stock","25","75","50"
"WX-RM-3019","Sydney","50","150","100"
"WX-RM-3020","Melbourne","10","30","1"
"WX-RM-3021","QLD Stock","20","60","10"
"WX-RM-3022","Sydney","25","75","25"
"WX-RM-3023","Melbourne","50","150","50"
"WX-RM-3024","QLD Stock","10","30","100"
"WX-RM-3025","Sydney","20","60","1"
"WX-RM-3026","Melbourne","25","75","10"
"WX-RM-3027","QLD Stock","50","150","25"
"WX-RM-3028","Sydney","10","30","50"
"WX-RM-3029","Melbourne","20","60","100"
"WX-RM-3030","QLD Stock","25","75","1"
"WX-RM-3031","Sydney","50","150","10"
"WX-RM-3032","Melbourne","10","30","25"
"WX-RM-3033","QLD Stock","20","60","50"
"WX-RM-3034","Sydney","25","75","100"
"WX-RM-3035","Melbourne","50","150","1"
"WX-RM-3036","QLD Stock","10","30","10"
"WX-RM-3037","Sydney","20","60","25"
"WX-RM-3038","Melbourne","25","75","50"
"WX-RM-3039","QLD Stock","50","150","100"
"WX-RM-3040","Sydney","10","30","1"
"WX-RM-3041","Melbourne","20","60","10"
"WX-RM-3042","QLD Stock","25","75","25"
"WX-RM-3043","Sydney","50","150","50"
"WX-RM-3044","Melbourne","10","30","100"
"WX-RM-3045","QLD Stock","20","60","1"
"WX-RM-3046","Sydney","25","75","10"
"WX-RM-3047","Melbourne","50","150","25"
"WX-RM-3048","QLD Stock","10","30","50"
"WX-RM-3049","Sydney","20","60","100"
"WX-SA-2000","QLD Stock","5","20","1"
"WX-SA-2001","QLD Stock","5","20","1"
"WX-SA-2002","QLD Stock","5","20","1"
"WX-SA-2003","QLD Stock","5","20","1"
"WX-SA-2004","QLD Stock","5","20","1"
"WX-SA-2005","QLD Stock","5","20","1"
"WX-SA-2006","QLD Stock","5","20","1"
"WX-SA-2007","QLD Stock","5","20","1"
"WX-SA-2008","QLD Stock","5","20","1"
"WX-SA-2009","QLD Stock","5","20","1"
"WX-SA-2010","QLD Stock","5","20","1"
"WX-SA-2011","QLD Stock","5","20","1"
"WX-SA-2012","QLD Stock","5","20","1"
"WX-SA-2013","QLD Stock","5","20","1"
"WX-SA-2014","QLD Stock","5","20","1"
"WX-SA-2015","QLD Stock","5","20","1"
"WX-SA-2016","QLD Stock","5","20","1"
"WX-SA-2017","QLD Stock","5","20","1"
"WX-SA-2018","QLD Stock","5","20","1"
"WX-SA-2019","QLD Stock","5","20","1"
