"PartNumber","PartDescription","Location","Qty","UOM","Cost","QBClass","Date","Note"
"WX-RM-3001","WX Raw Component 3001","Bike Storage","80","ea","3.75","","24/08/2026","WX demo seed"
"WX-RM-3002","WX Raw Component 3002","Stock Room","150","m","5","","24/08/2026","WX demo seed"
"WX-RM-3004","WX Raw Component 3004","Bike Storage","40","mm","7.5","","24/08/2026","WX demo seed"
"WX-RM-3005","WX Raw Component 3005","Stock Room","80","ea","8.75","","24/08/2026","WX demo seed"
"WX-RM-3007","WX Raw Component 3007","Bike Storage","250","ft","11.25","","24/08/2026","WX demo seed"
"WX-RM-3008","WX Raw Component 3008","Stock Room","40","ea","12.5","","24/08/2026","WX demo seed"
"WX-RM-3010","WX Raw Component 3010","Bike Storage","3","ea","15","","24/08/2026","WX demo seed"
"WX-RM-3011","WX Raw Component 3011","Stock Room","250","ea","16.25","","24/08/2026","WX demo seed"
"WX-RM-3013","WX Raw Component 3013","Bike Storage","80","kg","18.75","","24/08/2026","WX demo seed"
"WX-RM-3014","WX Raw Component 3014","Stock Room","150","mm","20","","24/08/2026","WX demo seed"
"WX-RM-3016","WX Raw Component 3016","Bike Storage","40","L","22.5","","24/08/2026","WX demo seed"
"WX-RM-3017","WX Raw Component 3017","Stock Room","3","ft","23.75","","24/08/2026","WX demo seed"
"WX-RM-3019","WX Raw Component 3019","Bike Storage","250","kg","26.25","","24/08/2026","WX demo seed"
"WX-RM-3020","WX Raw Component 3020","Stock Room","40","ea","2.5","","24/08/2026","WX demo seed"
"WX-RM-3022","WX Raw Component 3022","Bike Storage","150","m","5","","24/08/2026","WX demo seed"
"WX-RM-3023","WX Raw Component 3023","Stock Room","250","kg","6.25","","24/08/2026","WX demo seed"
"WX-RM-3025","WX Raw Component 3025","Bike Storage","80","ea","8.75","","24/08/2026","WX demo seed"
"WX-RM-3026","WX Raw Component 3026","Stock Room","150","L","10","","24/08/2026","WX demo seed"
"WX-RM-3028","WX Raw Component 3028","Bike Storage","40","ea","12.5","","24/08/2026","WX demo seed"
"WX-RM-3029","WX Raw Component 3029","Stock Room","80","kg","13.75","","24/08/2026","WX demo seed"
"WX-RM-3031","WX Raw Component 3031","Bike Storage","3","ea","16.25","","24/08/2026","WX demo seed"
"WX-RM-3032","WX Raw Component 3032","Stock Room","40","m","17.5","","24/08/2026","WX demo seed"
"WX-RM-3034","WX Raw Component 3034","Bike Storage","150","mm","20","","24/08/2026","WX demo seed"
"WX-RM-3035","WX Raw Component 3035","Stock Room","250","ea","21.25","","24/08/2026","WX demo seed"
"WX-RM-3037","WX Raw Component 3037","Bike Storage","80","ft","23.75","","24/08/2026","WX demo seed"
"WX-RM-3038","WX Raw Component 3038","Stock Room","3","ea","25","","24/08/2026","WX demo seed"
"WX-RM-3040","WX Raw Component 3040","Bike Storage","40","ea","2.5","","24/08/2026","WX demo seed"
"WX-RM-3041","WX Raw Component 3041","Stock Room","80","ea","3.75","","24/08/2026","WX demo seed"
"WX-RM-3043","WX Raw Component 3043","Bike Storage","250","kg","6.25","","24/08/2026","WX demo seed"
"WX-RM-3044","WX Raw Component 3044","Stock Room","40","mm","7.5","","24/08/2026","WX demo seed"
"WX-RM-3046","WX Raw Component 3046","Bike Storage","150","L","10","","24/08/2026","WX demo seed"
"WX-RM-3047","WX Raw Component 3047","Stock Room","250","ft","11.25","","24/08/2026","WX demo seed"
"WX-RM-3049","WX Raw Component 3049","Bike Storage","80","kg","13.75","","24/08/2026","WX demo seed"
"WX-SA-2000","WX Sub-Assembly 2000","R1A2","4","ea","22","","24/08/2026","WX demo seed"
"WX-SA-2002","WX Sub-Assembly 2002","R1A2","6","ea","25.3","","24/08/2026","WX demo seed"
"WX-SA-2004","WX Sub-Assembly 2004","R1A2","5","ea","28.6","","24/08/2026","WX demo seed"
"WX-SA-2006","WX Sub-Assembly 2006","R1A2","4","ea","31.9","","24/08/2026","WX demo seed"
"WX-SA-2008","WX Sub-Assembly 2008","R1A2","6","ea","35.2","","24/08/2026","WX demo seed"
"WX-SA-2010","WX Sub-Assembly 2010","R1A2","5","ea","38.5","","24/08/2026","WX demo seed"
"WX-SA-2012","WX Sub-Assembly 2012","R1A2","4","ea","41.8","","24/08/2026","WX demo seed"
"WX-SA-2014","WX Sub-Assembly 2014","R1A2","6","ea","45.1","","24/08/2026","WX demo seed"
"WX-SA-2016","WX Sub-Assembly 2016","R1A2","5","ea","48.4","","24/08/2026","WX demo seed"
"WX-SA-2018","WX Sub-Assembly 2018","R1A2","4","ea","51.7","","24/08/2026","WX demo seed"
