"Flag","SONum","Status","CustomerName","CustomerContact","BillToName","BillToAddress","BillToCity","BillToState","BillToZip","BillToCountry","ShipToName","ShipToAddress","ShipToCity","ShipToState","ShipToZip","ShipToCountry","ShipToResidential","CarrierName","TaxRateName","PriorityId","TotalIncludesTax","PONum","VendorPONum","Date","Salesman","ShippingTerms","PaymentTerms","FOB","Note","QuickBooksClassName","LocationGroupName","OrderDateScheduled","URL","CarrierService","CurrencyName","CurrencyRate","PriceIsHomeCurrency","DateExpired","Phone","Email","Category"
"Flag","SOItemTypeID","ProductNumber","ProductDescription","ProductQuantity","UOM","ProductPrice","Taxable","TaxCode","Note","ItemQuickBooksClassName","ItemDateScheduled","ShowItem","KitItem","RevisionLevel","CustomerPartNumber"
"SO","","20","Bike World","Bike World","Bike World","","","","","Australia","Bike World","","","","","Australia","false","","GST","30","false","WX-PO-100","","24/08/2026","","","","","WX demo sales order","","QLD Stock","31/08/2026","","","","","true","","","",""
"Item","10","WX-FG-1000","WX Widget Assembly 1000","1","ea","120","true","GST","","","31/08/2026","true","","",""
"SO","","20","Pro Bike","Pro Bike","Pro Bike","","","","","Australia","Pro Bike","","","","","Australia","false","","GST","30","false","WX-PO-101","","24/08/2026","","","","","WX demo sales order","","Sydney","03/09/2026","","","","","true","","","",""
"Item","10","WX-FG-1003","WX Widget Assembly 1003","2","ea","142.5","true","GST","","","03/09/2026","true","","",""
"Item","10","WX-FG-1004","WX Widget Assembly 1004","3","ea","150","true","GST","","","03/09/2026","true","","",""
"SO","","20","Speed Way Bikes","Speed Way Bikes","Speed Way Bikes","","","","","Australia","Speed Way Bikes","","","","","Australia","false","","GST","30","false","WX-PO-102","","24/08/2026","","","","","WX demo sales order","","Melbourne","06/09/2026","","","","","true","","","",""
"Item","10","WX-FG-1006","WX Widget Assembly 1006","3","ea","165","true","GST","","","06/09/2026","true","","",""
"Item","10","WX-FG-1007","WX Widget Assembly 1007","4","ea","172.5","true","GST","","","06/09/2026","true","","",""
"Item","10","WX-FG-1008","WX Widget Assembly 1008","1","ea","180","true","GST","","","06/09/2026","true","","",""
"SO","","20","Cityscape Bikes","Cityscape Bikes","Cityscape Bikes","","","","","Australia","Cityscape Bikes","","","","","Australia","false","","GST","30","false","WX-PO-103","","24/08/2026","","","","","WX demo sales order","","QLD Stock","09/09/2026","","","","","true","","","",""
"Item","10","WX-FG-1009","WX Widget Assembly 1009","4","ea","187.5","true","GST","","","09/09/2026","true","","",""
"SO","","20","DIYBike Co.","DIYBike Co.","DIYBike Co.","","","","","Australia","DIYBike Co.","","","","","Australia","false","","GST","30","false","WX-PO-104","","24/08/2026","","","","","WX demo sales order","","Sydney","12/09/2026","","","","","true","","","",""
"Item","10","WX-FG-1012","WX Widget Assembly 1012","1","ea","210","true","GST","","","12/09/2026","true","","",""
"Item","10","WX-FG-1013","WX Widget Assembly 1013","2","ea","217.5","true","GST","","","12/09/2026","true","","",""
"SO","","20","National Bicycle Club","National Bicycle Club","National Bicycle Club","","","","","Australia","National Bicycle Club","","","","","Australia","false","","GST","30","false","WX-PO-105","","24/08/2026","","","","","WX demo sales order","","Melbourne","15/09/2026","","","","","true","","","",""
"Item","10","WX-FG-1015","WX Widget Assembly 1015","2","ea","232.5","true","GST","","","15/09/2026","true","","",""
"Item","10","WX-FG-1016","WX Widget Assembly 1016","3","ea","240","true","GST","","","15/09/2026","true","","",""
"Item","10","WX-FG-1017","WX Widget Assembly 1017","4","ea","247.5","true","GST","","","15/09/2026","true","","",""
"SO","","20","Timeless Bicycles","Timeless Bicycles","Timeless Bicycles","","","","","Australia","Timeless Bicycles","","","","","Australia","false","","GST","30","false","WX-PO-106","","24/08/2026","","","","","WX demo sales order","","QLD Stock","18/09/2026","","","","","true","","","",""
"Item","10","WX-FG-1018","WX Widget Assembly 1018","3","ea","255","true","GST","","","18/09/2026","true","","",""
"SO","","20","Big Al's Bike Shop","Big Al's Bike Shop","Big Al's Bike Shop","","","","","Australia","Big Al's Bike Shop","","","","","Australia","false","","GST","30","false","WX-PO-107","","24/08/2026","","","","","WX demo sales order","","Sydney","21/09/2026","","","","","true","","","",""
"Item","10","WX-FG-1021","WX Widget Assembly 1021","4","ea","277.5","true","GST","","","21/09/2026","true","","",""
"Item","10","WX-FG-1022","WX Widget Assembly 1022","1","ea","285","true","GST","","","21/09/2026","true","","",""
"SO","","20","Magic Mountain Biking","Magic Mountain Biking","Magic Mountain Biking","","","","","Australia","Magic Mountain Biking","","","","","Australia","false","","GST","30","false","WX-PO-108","","24/08/2026","","","","","WX demo sales order","","Melbourne","24/09/2026","","","","","true","","","",""
"Item","10","WX-FG-1024","WX Widget Assembly 1024","1","ea","300","true","GST","","","24/09/2026","true","","",""
"Item","10","WX-FG-1025","WX Widget Assembly 1025","2","ea","307.5","true","GST","","","24/09/2026","true","","",""
"Item","10","WX-FG-1026","WX Widget Assembly 1026","3","ea","315","true","GST","","","24/09/2026","true","","",""
"SO","","20","Peak Mountaineer","Peak Mountaineer","Peak Mountaineer","","","","","Australia","Peak Mountaineer","","","","","Australia","false","","GST","30","false","WX-PO-109","","24/08/2026","","","","","WX demo sales order","","QLD Stock","27/09/2026","","","","","true","","","",""
"Item","10","WX-FG-1027","WX Widget Assembly 1027","2","ea","322.5","true","GST","","","27/09/2026","true","","",""
"SO","","20","Bike World","Bike World","Bike World","","","","","Australia","Bike World","","","","","Australia","false","","GST","30","false","WX-PO-110","","24/08/2026","","","","","WX demo sales order","","Sydney","30/09/2026","","","","","true","","","",""
"Item","10","WX-FG-1030","WX Widget Assembly 1030","3","ea","345","true","GST","","","30/09/2026","true","","",""
"Item","10","WX-FG-1031","WX Widget Assembly 1031","4","ea","352.5","true","GST","","","30/09/2026","true","","",""
"SO","","20","Pro Bike","Pro Bike","Pro Bike","","","","","Australia","Pro Bike","","","","","Australia","false","","GST","30","false","WX-PO-111","","24/08/2026","","","","","WX demo sales order","","Melbourne","03/10/2026","","","","","true","","","",""
"Item","10","WX-FG-1033","WX Widget Assembly 1033","4","ea","367.5","true","GST","","","03/10/2026","true","","",""
"Item","10","WX-FG-1034","WX Widget Assembly 1034","1","ea","375","true","GST","","","03/10/2026","true","","",""
"Item","10","WX-FG-1035","WX Widget Assembly 1035","2","ea","382.5","true","GST","","","03/10/2026","true","","",""
"SO","","20","Speed Way Bikes","Speed Way Bikes","Speed Way Bikes","","","","","Australia","Speed Way Bikes","","","","","Australia","false","","GST","30","false","WX-PO-112","","24/08/2026","","","","","WX demo sales order","","QLD Stock","06/10/2026","","","","","true","","","",""
"Item","10","WX-FG-1036","WX Widget Assembly 1036","1","ea","390","true","GST","","","06/10/2026","true","","",""
"SO","","20","Cityscape Bikes","Cityscape Bikes","Cityscape Bikes","","","","","Australia","Cityscape Bikes","","","","","Australia","false","","GST","30","false","WX-PO-113","","24/08/2026","","","","","WX demo sales order","","Sydney","09/10/2026","","","","","true","","","",""
