"Flag","PONum","Status","VendorName","VendorContact","RemitToName","RemitToAddress","RemitToCity","RemitToState","RemitToZip","RemitToCountry","ShipToName","ShipToAddress","ShipToCity","ShipToState","ShipToZip","ShipToCountry","CarrierName","TaxRateName","PaymentTerms","FOB","Note","QuickBooksClassName","LocationGroupName","Date","DateScheduled","URL","CurrencyName","CurrencyRate","PriceIsHomeCurrency"
"Flag","POItemTypeID","PartNumber","PartDescription","PartQuantity","UOM","PartPrice","Taxable","TaxCode","Note","ItemQuickBooksClassName","ItemDateScheduled","ShowItem","RevisionLevel","CustomerPartNumber","VendorPartNumber"
"PO","WX-PO-500","20","A&B Distribution","A&B Distribution","A&B Distribution","432 Vine St","Double Bay","NSW","2988","Australia","FB July","1 Smith St","Smithtown","QLD","4174","Australia","","NCG","","","WX demo PO","","QLD Stock","24/08/2026","29/08/2026","","","","true"
"Item","10","WX-RM-3000","WX Raw Component 3000","50","ea","2.5","true","NCG","","","29/08/2026","true","","WX-RM-3000-V","WX-RM-3000-V"
"Item","10","WX-RM-3024","WX Raw Component 3024","100","mm","7.5","true","NCG","","","29/08/2026","true","","WX-RM-3024-V","WX-RM-3024-V"
"Item","10","WX-RM-3048","WX Raw Component 3048","50","ea","12.5","true","NCG","","","29/08/2026","true","","WX-RM-3048-V","WX-RM-3048-V"
"PO","WX-PO-501","10","Cyclery Connection","Cyclery Connection","Cyclery Connection","500 E. Lost Way","South Melbourne","VIC","3254","Australia","FB July","1 Smith St","Smithtown","QLD","4174","Australia","","NCG","","","WX demo PO","","QLD Stock","24/08/2026","30/08/2026","","","","true"
"Item","10","WX-RM-3003","WX Raw Component 3003","50","kg","6.25","true","NCG","","","30/08/2026","true","","WX-RM-3003-V","WX-RM-3003-V"
"Item","10","WX-RM-3027","WX Raw Component 3027","50","ft","11.25","true","NCG","","","30/08/2026","true","","WX-RM-3027-V","WX-RM-3027-V"
"PO","WX-PO-502","20","Rocky Mountain Bikes","Rocky Mountain Bikes","Rocky Mountain Bikes","234 Garden Rd","Sydney","NSW","2884","Australia","FB July","1 Smith St","Smithtown","QLD","4174","Australia","","NCG","","","WX demo — overdue supply","","QLD Stock","24/08/2026","19/08/2026","","","","true"
"Item","10","WX-RM-3006","WX Raw Component 3006","50","L","10","true","NCG","","","19/08/2026","true","","WX-RM-3006-V","WX-RM-3006-V"
"Item","10","WX-RM-3030","WX Raw Component 3030","50","ea","15","true","NCG","","","19/08/2026","true","","WX-RM-3030-V","WX-RM-3030-V"
"PO","WX-PO-503","20","Johnson Manufacturing","Johnson Manufacturing","Johnson Manufacturing","3245 Williams Ave","Dandenong Nth","VIC","3943","Australia","FB July","1 Smith St","Smithtown","QLD","4174","Australia","","NCG","","","WX demo PO","","QLD Stock","24/08/2026","01/09/2026","","","","true"
"Item","10","WX-RM-3009","WX Raw Component 3009","100","kg","13.75","true","NCG","","","01/09/2026","true","","WX-RM-3009-V","WX-RM-3009-V"
"Item","10","WX-RM-3033","WX Raw Component 3033","50","kg","18.75","true","NCG","","","01/09/2026","true","","WX-RM-3033-V","WX-RM-3033-V"
"PO","WX-PO-504","10","Simpson Cyclery","Simpson Cyclery","Simpson Cyclery","3 Dumskaya Ulitsa","Monbulk","VIC","3987","Australia","FB July","1 Smith St","Smithtown","QLD","4174","Australia","","NCG","","","WX demo PO","","QLD Stock","24/08/2026","02/09/2026","","","","true"
"Item","10","WX-RM-3012","WX Raw Component 3012","50","m","17.5","true","NCG","","","02/09/2026","true","","WX-RM-3012-V","WX-RM-3012-V"
"Item","10","WX-RM-3036","WX Raw Component 3036","50","L","22.5","true","NCG","","","02/09/2026","true","","WX-RM-3036-V","WX-RM-3036-V"
"PO","WX-PO-505","20","Chuck's Chain Shop","Chuck's Chain Shop","Chuck's Chain Shop","5500 East Rd","Sandown","VIC","3651","Australia","FB July","1 Smith St","Smithtown","QLD","4174","Australia","","NCG","","","WX demo — overdue supply","","QLD Stock","24/08/2026","21/08/2026","","","","true"
"Item","10","WX-RM-3015","WX Raw Component 3015","50","ea","21.25","true","NCG","","","21/08/2026","true","","WX-RM-3015-V","WX-RM-3015-V"
"Item","10","WX-RM-3039","WX Raw Component 3039","100","kg","26.25","true","NCG","","","21/08/2026","true","","WX-RM-3039-V","WX-RM-3039-V"
"PO","WX-PO-506","20","Kevin's Cables","Kevin's Cables","Kevin's Cables","2155 Mescalero Trail","Footscray","VIC","3984","Australia","FB July","1 Smith St","Smithtown","QLD","4174","Australia","","NCG","","","WX demo PO","","QLD Stock","24/08/2026","04/09/2026","","","","true"
"Item","10","WX-RM-3018","WX Raw Component 3018","50","ea","25","true","NCG","","","04/09/2026","true","","WX-RM-3018-V","WX-RM-3018-V"
"Item","10","WX-RM-3042","WX Raw Component 3042","50","m","5","true","NCG","","","04/09/2026","true","","WX-RM-3042-V","WX-RM-3042-V"
"PO","WX-PO-507","10","Monroe Bike Company","Monroe Bike Company","Monroe Bike Company","100 Wall Street","Sunbury","VIC","3742","Australia","FB July","1 Smith St","Smithtown","QLD","4174","Australia","","NCG","","","WX demo PO","","QLD Stock","24/08/2026","05/09/2026","","","","true"
"Item","10","WX-RM-3021","WX Raw Component 3021","50","ea","3.75","true","NCG","","","05/09/2026","true","","WX-RM-3021-V","WX-RM-3021-V"
"Item","10","WX-RM-3045","WX Raw Component 3045","50","ea","8.75","true","NCG","","","05/09/2026","true","","WX-RM-3045-V","WX-RM-3045-V"
