Index,Pos No,Item No,Description 1,Issue,State,CAD Qty,Real Qty,Spares Qty,Total Qty,Unit of Measure,Manually Managed,Assembly,Orderable,Manufacturer name,Manufacturer Part Number,Mass,BOM Comparison
1,this is a whole number,PHLN-00000323,Pressure Vessel Energry Storage System (PV-ESS),1,Released,,,>>> has to be 1,1,Ea,,Y,N,,,708544.5096,
1.1,"these have no 0 or "".""",PHLN-00000324,Energy Storage Module (ESM),2,Released,19,19,no blanks or 0's >>>>>,19,Ea,No,Y,N,,,12274.51227, 
1.1.1,,PHLN-00000170,PV ESS ESM - w/o uCMU,3,Released,1,,,1,Ea,No,Y,N,,,12253.39455, 
1.1.1.1,,PHLN-00000173,PV ESM Current collector A assembly,3,Released,2,,,2,Ea,No,Y,Y,,,48.293487, 
1.1.1.2,,PHLN-00000174,PV ESM Current Collector B Assembly,2,Released,2,,,2,Ea,No,Y,Y,,,84.735254, 
1.1.1.3,,PHLN-00000175,PV ESM Current Collector C Assembly,2,Released,2,,,2,Ea,No,Y,Y,,,85.586664, 
1.1.1.4,,PHLN-00000813,M2.5x6mm DIN7500 thread rolling self tapping screw,1,Released,34,,,34,Ea,No,N,Y,BoltAndNut,04PP256HP,0.065653, 
1.1.1.5,,PHLN-00003568,PV ESS ESM - Structure & Cells Only,3,Released,1,,,1,Ea,No,Y,N,,,11813.93155, 
1.1.1.5.1,,PHLN-00000111,PV ESS ESM structural components only,1,Released,1,,,1,Ea,No,Y,N,,,2592.807179, 
1.1.1.5.1.1,,PHLN-00000091,non-Support Spacer,1,Released,8,,,8,Ea,No,N,Y,,,21.726797, 
1.1.1.5.1.2,,PHLN-00000093,Inner Spacer,1,Released,4,,,4,Ea,No,N,Y,,,22.28803, 
1.1.1.5.1.3,,PHLN-00000095,Cell holder,3,Released,2,,,2,Ea,No,N,Y,,,1138.396211, 
1.1.1.5.1.4,,PHLN-00000097,Spacer M4,1,Released,9,,,9,Ea,No,N,Y,,,5.894251, 
1.1.1.5.1.5,,PHLN-00003695,Double-slot spacer - Black,1,Released,2,,,2,Ea,No,N,Y,,,4.799612, 
1.1.1.5.1.6,,PHLN-00003697,Double-slot spacer - RED,1,Released,2,,,2,Ea,No,N,Y,,,4.799612, 
1.1.1.5.2,,PHLN-00000533,PV ESS ESM Cells only,1,Released,1,,,1,Ea,No,Y,N,,,9184.933879, 
1.1.1.5.2.1,,PHLN-00000032,Samsung INR21700-50G,1,Released,365,,,365,Ea,No,N,Y,,,24.636917, 
1.1.1.5.2.2,,PHLN-00000113,ESM cell layout,4,Released,1,,,1,Ea,No,N,N,,,192.459146, 
1.1.1.5.3,,PHLN-00004051,M4 x 0.70p x 65mm Metric Coarse Pan Phillips (PH2) Machine Screw Zinc Plated AS,1,Released,13,,,13,Ea,No,N,Y,Bolt and Nut Australia,21P465,0.946496, 
1.1.1.5.4,,PHLN-00004052,M4 x 0.70p Metric Coarse Stainless A2-70 G304 Hex Flange Nyloc Nuts DIN 6926,1,Released,13,,,13,Ea,No,N,Y,Bolt and Nut Australia,41FLNS4,0.222275, 
1.1.1.5.5,,PHLN-00004161,LHS XTS Interstitial Pouch Formed,2,Released,151,,,151,Ea,No,N,y,"Latent Heat Solutions, LLC", XTS-SBS-01 (modified),3.285321, 
1.1.1.5.6,,PHLN-00004290,"Thermistor, NTC, 10k, ±1%, B=3435±1%, Leaded (UL10086 26AWG)",1,Released,0,4,,4,Ea,Yes,N,Y,Tayao,SS5D3-103F343FLC4380,, 
1.1.2,,PHLN-00003495,Micro CMU with heatspreader,1,Released,1,,,1,Ea,No,Y,N,,,21.117715, 
1.1.2.1,,PHLN-00001796,Micro CMU PCA,1,Released,1,,,1,Ea,No,Y,Y,,,11.29736, 
1.1.2.2,,PHLN-00003633,Micro CMU retainer,2,Released,1,,,1,Ea,Yes,N,Y,,,12.88, 
1.1.2.3,,PHLN-00003703,Micro CMU Heat Spreader Assembly,2,Under Review,1,,,1,Ea,No,Y,Y,,,37.344876, 
1.1.2.3.1,,PHLN-00003632,Micro CMU heat spreader,2,Under Review,1,,,1,Ea,No,N,N,,,9.820355, 
1.1.2.3.2,,PHLN-00003702,FH-M3-10ZI,1,Released,7,,,7,Ea,No,N,N,PennEngineering,FH-M3-10ZI,0.586664, 
1.1.2.4,,PHLN-00003705,SRH-3545 Expansion Rivet,1,Released,2,,,2,Ea,No,N,Y,Essentra,SRH-3545,0.09334, 
1.1.2.5,,PHLN-00003785,PV-ESS Micro CMU Thermal Interface Material,1,Released,1,,,1,Ea,No,N,Y,,,1.6275, 
1.1.3,,PHLN-00003665,"Cable Assembly, Micro CMU (uCMU) Cell Sense",2,Checked,0,1,,1,Ea,Yes,Y,Y,,,, 
1.1.4,,PHLN-00003870,LHS XTS Terminal Pouch (100 x 54 x 3),1,Released,42,,,42,Ea,No,N,Y,"Latent Heat Solutions, LLC",XTS 142-02-P02-RA,16.186973, 
1.1.5,,PHLN-00004210,PV-ESS ESM Terminal Cover,1,Released,0,2,,2,Ea,Yes,N,y,,,, 
1.1.6,,PHLN-00004327-01,"Cable Assembly, Altered Item, PV-ESS ESM NTC - Variant 1",1,Checked,0,3,,3,Ea,Yes,Y,,,,, 
